day_counter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
502,139,23,,,,,,,,,,,,494.0,,,,,,,
503,139,23,,,,,,,,,,,,494.0,,,,,,,
504,139,23,,,,,,,,,,,,496.0,,,,,,,
505,141,23,,,,,,,,,,,,496.0,,,,,,,
506,142,23,,,,,,,,,,,,496.0,,,,,,,
507,142,23,,,,,,,,,,,,496.0,,,,,,,
508,142,23,,,,,,,,,,,,496.0,,,,,,,
509,142,23,,,,,,,,,,,,496.0,,,,,,,
510,144,23,,,,,,,,,,,,497.0,,,,,,,
511,144,23,,,,,,,,,,,,498.0,,,,,,,
512,145,23,,,,,,,,,,,,498.0,,,,,,,
513,147,23,,,,,,,,,,,,498.0,,,,,,,
514,147,23,,,,,,,,,,,,498.0,,,,,,,
515,148,23,,,,,,,,,,,,498.0,,,,,,,
516,148,23,,,,,,,,,,,,498.0,,,,,,,
517,148,23,,,,,,,,,,,,498.0,,,,,,,
518,149,23,,,,,,,,,,,,498.0,,,,,,,
519,149,23,,,,,,,,,,,,498.0,,,,,,,
520,146,23,,,,,,,,,,,,504.0,,,,,,,
521,146,23,,,,,,,,,,,,504.0,,,,,,,
522,148,23,,,,,,,,,,,,506.0,,,,,,,
523,148,23,,,,,,,,,,,,505.0,,,,,,,
524,148,23,,,,,,,,,,,,505.0,,,,,,,
525,149,23,,,,,,,,,,,,505.0,,,,,,,
526,150,23,,,,,,,,,,,,506.0,,,,,,,
527,150,23,,,,,,,,,,,,506.0,,,,,,,
528,151,23,,,,,,,,,,,,,507.0,,,,,,
529,151,23,,,,,,,,,,,,,507.0,,,,,,
530,151,23,,,,,,,,,,,,,508.0,,,,,,
531,149,23,,,,,,,,,,,,,512.0,,,,,,
532,150,23,,,,,,,,,,,,,512.0,,,,,,
533,150,23,,,,,,,,,,,,,512.0,,,,,,
534,150,23,,,,,,,,,,,,,514.0,,,,,,
535,150,23,,,,,,,,,,,,,514.0,,,,,,
536,151,23,,,,,,,,,,,,,515.0,,,,,,
537,151,23,,,,,,,,,,,,,516.0,,,,,,
538,151,23,,,,,,,,,,,,,516.0,,,,,,
539,151,23,,,,,,,,,,,,,516.0,,,,,,
540,149,19,,,,,,,,,,,,,535.0,,,,,,
541,149,19,,,,,,,,,,,,,534.0,,,,,,
542,149,19,,,,,,,,,,,,,535.0,,,,,,
543,151,17,,,,,,,,,,,,,535.0,,,,,,
544,150,15,,,,,,,,,,,,,542.0,,,,,,
545,152,17,,,,,,,,,,,,,537.0,,,,,,
546,153,17,,,,,,,,,,,,,539.0,,,,,,
547,153,17,,,,,,,,,,,,,539.0,,,,,,
548,153,17,,,,,,,,,,,,,540.0,,,,,,
549,153,17,,,,,,,,,,,,,540.0,,,,,,
550,153,17,,,,,,,,,,,,,541.0,,,,,,
551,153,17,,,,,,,,,,,,,541.0,,,,,,
552,151,17,,,,,,,,,,,,,551.0,,,,,,
553,151,17,,,,,,,,,,,,,550.0,,,,,,
554,151,17,,,,,,,,,,,,,550.0,,,,,,
555,150,17,,,,,,,,,,,,,550.0,,,,,,
556,151,17,,,,,,,,,,,,,552.0,,,,,,
557,152,15,,,,,,,,,,,,,552.0,,,,,,
558,153,15,,,,,,,,,,,,,552.0,,,,,,
559,153,15,,,,,,,,,,,,,552.0,,,,,,
560,150,15,,,,,,,,,,,,,566.0,,,,,,
561,150,15,,,,,,,,,,,,,566.0,,,,,,
562,150,15,,,,,,,,,,,,,566.0,,,,,,
563,150,15,,,,,,,,,,,,,566.0,,,,,,
564,151,15,,,,,,,,,,,,,566.0,,,,,,
565,151,15,,,,,,,,,,,,,567.0,,,,,,
566,151,15,,,,,,,,,,,,,567.0,,,,,,
567,152,15,,,,,,,,,,,,,567.0,,,,,,
568,153,15,,,,,,,,,,,,,567.0,,,,,,
569,153,15,,,,,,,,,,,,,566.0,,,,,,
570,152,13,,,,,,,,,,,,,579.0,,,,,,
571,152,13,,,,,,,,,,,,,579.0,,,,,,
572,152,13,,,,,,,,,,,,,579.0,,,,,,
573,151,13,,,,,,,,,,,,,579.0,,,,,,
574,151,13,,,,,,,,,,,,,579.0,,,,,,
575,151,13,,,,,,,,,,,,,579.0,,,,,,
576,153,13,,,,,,,,,,,,,583.0,,,,,,
577,153,13,,,,,,,,,,,,,583.0,,,,,,
578,153,13,,,,,,,,,,,,,583.0,,,,,,
579,154,15,,,,,,,,,,,,,579.0,,,,,,
580,152,15,,,,,,,,,,,,,585.0,,,,,,
581,151,15,,,,,,,,,,,,,585.0,,,,,,
582,153,15,,,,,,,,,,,,,585.0,,,,,,
583,153,15,,,,,,,,,,,,,585.0,,,,,,
584,153,15,,,,,,,,,,,,,585.0,,,,,,
585,153,15,,,,,,,,,,,,,585.0,,,,,,
586,153,15,,,,,,,,,,,,,585.0,,,,,,
587,153,15,,,,,,,,,,,,,584.0,,,,,,
588,153,12,,,,,,,,,,,,,591.0,,,,,,
589,153,12,,,,,,,,,,,,,591.0,,,,,,
590,154,12,,,,,,,,,,,,,591.0,,,,,,
591,155,12,,,,,,,,,,,,,589.0,,,,,,
592,156,10,,,,,,,,,,,,,594.0,,,,,,
593,156,10,,,,,,,,,,,,,594.0,,,,,,
594,157,10,,,,,,,,,,,,,599.0,,,,,,
595,157,10,,,,,,,,,,,,,599.0,,,,,,
596,157,10,,,,,,,,,,,,,599.0,,,,,,
597,157,10,,,,,,,,,,,,,599.0,,,,,,
598,157,10,,,,,,,,,,,,,599.0,,,,,,
599,157,10,,,,,,,,,,,,,599.0,,,,,,
600,159,10,,,,,,,,,,,,,600.0,,,,,,
601,159,12,,,,,,,,,,,,,597.0,,,,,,
602,160,12,,,,,,,,,,,,,597.0,,,,,,
603,160,12,,,,,,,,,,,,,598.0,,,,,,
604,160,12,,,,,,,,,,,,,598.0,,,,,,
605,160,12,,,,,,,,,,,,,598.0,,,,,,
606,160,12,,,,,,,,,,,,,598.0,,,,,,
607,160,12,,,,,,,,,,,,,598.0,,,,,,
608,160,12,,,,,,,,,,,,,598.0,,,,,,
609,160,12,,,,,,,,,,,,,598.0,,,,,,
610,161,12,,,,,,,,,,,,,599.0,,,,,,
611,161,12,,,,,,,,,,,,,599.0,,,,,,
612,162,12,,,,,,,,,,,,,599.0,,,,,,
613,162,12,,,,,,,,,,,,,599.0,,,,,,
614,163,12,,,,,,,,,,,,,599.0,,,,,,
615,163,12,,,,,,,,,,,,,599.0,,,,,,
616,161,12,,,,,,,,,,,,,604.0,,,,,,
617,161,12,,,,,,,,,,,,,604.0,,,,,,
618,161,12,,,,,,,,,,,,,604.0,,,,,,
619,161,12,,,,,,,,,,,,,604.0,,,,,,
620,162,10,,,,,,,,,,,,,604.0,,,,,,
621,162,10,,,,,,,,,,,,,604.0,,,,,,
622,162,10,,,,,,,,,,,,,604.0,,,,,,
623,162,10,,,,,,,,,,,,,604.0,,,,,,
624,161,10,,,,,,,,,,,,,606.0,,,,,,
625,161,10,,,,,,,,,,,,,606.0,,,,,,
626,161,10,,,,,,,,,,,,,607.0,,,,,,
627,161,10,,,,,,,,,,,,,607.0,,,,,,
628,162,10,,,,,,,,,,,,,607.0,,,,,,
629,162,10,,,,,,,,,,,,,607.0,,,,,,
630,161,10,,,,,,,,,,,,,612.0,,,,,,
631,161,10,,,,,,,,,,,,,612.0,,,,,,
632,162,10,,,,,,,,,,,,,612.0,,,,,,
633,162,10,,,,,,,,,,,,,611.0,,,,,,
634,162,10,,,,,,,,,,,,,611.0,,,,,,
635,162,10,,,,,,,,,,,,,611.0,,,,,,
636,164,10,,,,,,,,,,,,,613.0,,,,,,
637,163,10,,,,,,,,,,,,,615.0,,,,,,
638,164,10,,,,,,,,,,,,,613.0,,,,,,
639,164,10,,,,,,,,,,,,,614.0,,,,,,
640,166,10,,,,,,,,,,,,,616.0,,,,,,
641,166,10,,,,,,,,,,,,,616.0,,,,,,
642,167,10,,,,,,,,,,,,,616.0,,,,,,
643,167,10,,,,,,,,,,,,,616.0,,,,,,
644,167,10,,,,,,,,,,,,,616.0,,,,,,
645,167,10,,,,,,,,,,,,,616.0,,,,,,
646,167,10,,,,,,,,,,,,,616.0,,,,,,
647,167,10,,,,,,,,,,,,,616.0,,,,,,
648,167,10,,,,,,,,,,,,,622.0,,,,,,
649,167,10,,,,,,,,,,,,,622.0,,,,,,
650,167,10,,,,,,,,,,,,,622.0,,,,,,
651,167,10,,,,,,,,,,,,,620.0,,,,,,
652,166,10,,,,,,,,,,,,,624.0,,,,,,
653,166,10,,,,,,,,,,,,,624.0,,,,,,
654,166,10,,,,,,,,,,,,,624.0,,,,,,
655,166,10,,,,,,,,,,,,,624.0,,,,,,
656,167,10,,,,,,,,,,,,,625.0,,,,,,
657,167,10,,,,,,,,,,,,,625.0,,,,,,
658,167,10,,,,,,,,,,,,,625.0,,,,,,
659,167,10,,,,,,,,,,,,,625.0,,,,,,
660,166,10,,,,,,,,,,,,,632.0,,,,,,
661,166,10,,,,,,,,,,,,,632.0,,,,,,
662,166,10,,,,,,,,,,,,,632.0,,,,,,
663,166,10,,,,,,,,,,,,,632.0,,,,,,
664,166,10,,,,,,,,,,,,,633.0,,,,,,
665,162,10,,,,,,,,,,,,,638.0,,,,,,
666,162,10,,,,,,,,,,,,,637.0,,,,,,
667,162,10,,,,,,,,,,,,,637.0,,,,,,
668,163,10,,,,,,,,,,,,,636.0,,,,,,
669,163,10,,,,,,,,,,,,,636.0,,,,,,
670,163,10,,,,,,,,,,,,,635.0,,,,,,
671,163,10,,,,,,,,,,,,,635.0,,,,,,
672,163,10,,,,,,,,,,,,,638.0,,,,,,
673,163,10,,,,,,,,,,,,,638.0,,,,,,
674,163,10,,,,,,,,,,,,,638.0,,,,,,
675,165,10,,,,,,,,,,,,,639.0,,,,,,
676,165,10,,,,,,,,,,,,,640.0,,,,,,
677,165,10,,,,,,,,,,,,,640.0,,,,,,
678,166,10,,,,,,,,,,,,,641.0,,,,,,
679,166,10,,,,,,,,,,,,,641.0,,,,,,
680,167,10,,,,,,,,,,,,,642.0,,,,,,
681,166,10,,,,,,,,,,,,,,644.0,,,,,
682,168,10,,,,,,,,,,,,,,643.0,,,,,
683,167,10,,,,,,,,,,,,,,643.0,,,,,
684,167,10,,,,,,,,,,,,,,645.0,,,,,
685,168,10,,,,,,,,,,,,,,645.0,,,,,
686,171,10,,,,,,,,,,,,,,644.0,,,,,
687,171,10,,,,,,,,,,,,,,644.0,,,,,
688,171,10,,,,,,,,,,,,,,646.0,,,,,
689,171,10,,,,,,,,,,,,,,646.0,,,,,
690,172,10,,,,,,,,,,,,,,646.0,,,,,
691,172,10,,,,,,,,,,,,,,646.0,,,,,
692,171,10,,,,,,,,,,,,,,650.0,,,,,
693,172,10,,,,,,,,,,,,,,648.0,,,,,
694,172,10,,,,,,,,,,,,,,648.0,,,,,
695,172,10,,,,,,,,,,,,,,647.0,,,,,
696,171,10,,,,,,,,,,,,,,650.0,,,,,
697,171,10,,,,,,,,,,,,,,650.0,,,,,
698,171,10,,,,,,,,,,,,,,650.0,,,,,
699,171,10,,,,,,,,,,,,,,650.0,,,,,
700,171,10,,,,,,,,,,,,,,652.0,,,,,
701,171,10,,,,,,,,,,,,,,652.0,,,,,
702,172,10,,,,,,,,,,,,,,652.0,,,,,
703,172,10,,,,,,,,,,,,,,652.0,,,,,
704,170,10,,,,,,,,,,,,,,657.0,,,,,
705,170,10,,,,,,,,,,,,,,657.0,,,,,
706,170,10,,,,,,,,,,,,,,657.0,,,,,
707,170,10,,,,,,,,,,,,,,657.0,,,,,
708,173,10,,,,,,,,,,,,,,657.0,,,,,
709,173,10,,,,,,,,,,,,,,657.0,,,,,
710,171,10,,,,,,,,,,,,,,664.0,,,,,
711,172,10,,,,,,,,,,,,,663.0,,,,,,
712,174,10,,,,,,,,,,,,,663.0,,,,,,
713,174,10,,,,,,,,,,,,,663.0,,,,,,
714,174,10,,,,,,,,,,,,,665.0,,,,,,
715,175,10,,,,,,,,,,,,,665.0,,,,,,
716,176,10,,,,,,,,,,,,,666.0,,,,,,
717,177,10,,,,,,,,,,,,,664.0,,,,,,
718,178,10,,,,,,,,,,,,,664.0,,,,,,
719,178,10,,,,,,,,,,,,,664.0,,,,,,
720,177,10,,,,,,,,,,,,,669.0,,,,,,
721,177,10,,,,,,,,,,,,,669.0,,,,,,
722,177,10,,,,,,,,,,,,,669.0,,,,,,
723,177,10,,,,,,,,,,,,,669.0,,,,,,
724,177,10,,,,,,,,,,,,,669.0,,,,,,
725,177,10,,,,,,,,,,,,,669.0,,,,,,
726,177,10,,,,,,,,,,,,,669.0,,,,,,
727,177,10,,,,,,,,,,,,,669.0,,,,,,
728,177,10,,,,,,,,,,,,,669.0,,,,,,
729,177,10,,,,,,,,,,,,,669.0,,,,,,
730,177,10,,,,,,,,,,,,,672.0,,,,,,
731,177,10,,,,,,,,,,,,,672.0,,,,,,
732,177,10,,,,,,,,,,,,,673.0,,,,,,
733,177,10,,,,,,,,,,,,,673.0,,,,,,
734,177,10,,,,,,,,,,,,,673.0,,,,,,
735,180,10,,,,,,,,,,,,,673.0,,,,,,
736,180,10,,,,,,,,,,,,,672.0,,,,,,
737,180,10,,,,,,,,,,,,,672.0,,,,,,
738,180,10,,,,,,,,,,,,,673.0,,,,,,
739,179,10,,,,,,,,,,,,,673.0,,,,,,
740,179,10,,,,,,,,,,,,,674.0,,,,,,
741,179,10,,,,,,,,,,,,,674.0,,,,,,
742,178,10,,,,,,,,,,,,,674.0,,,,,,
743,178,10,,,,,,,,,,,,,674.0,,,,,,
744,178,10,,,,,,,,,,,,,674.0,,,,,,
745,179,10,,,,,,,,,,,,,674.0,,,,,,
746,179,10,,,,,,,,,,,,,674.0,,,,,,
747,179,10,,,,,,,,,,,,,674.0,,,,,,
748,179,10,,,,,,,,,,,,,674.0,,,,,,
749,179,10,,,,,,,,,,,,,674.0,,,,,,
750,179,10,,,,,,,,,,,,,678.0,,,,,,
751,179,10,,,,,,,,,,,,,678.0,,,,,,
752,179,10,,,,,,,,,,,,,678.0,,,,,,
753,179,10,,,,,,,,,,,,,678.0,,,,,,
754,179,10,,,,,,,,,,,,,678.0,,,,,,
755,179,10,,,,,,,,,,,,,678.0,,,,,,
756,179,10,,,,,,,,,,,,,679.0,,,,,,
757,179,10,,,,,,,,,,,,,679.0,,,,,,
758,179,10,,,,,,,,,,,,,679.0,,,,,,
759,179,10,,,,,,,,,,,,,679.0,,,,,,
760,177,8,,,,,,,,,,,,,685.0,,,,,,
761,177,8,,,,,,,,,,,,,685.0,,,,,,
762,175,8,,,,,,,,,,,,,688.0,,,,,,
763,175,8,,,,,,,,,,,,,688.0,,,,,,
764,175,8,,,,,,,,,,,,,687.0,,,,,,
765,175,8,,,,,,,,,,,,,687.0,,,,,,
766,177,8,,,,,,,,,,,,,684.0,,,,,,
767,177,8,,,,,,,,,,,,,684.0,,,,,,
768,177,8,,,,,,,,,,,,,686.0,,,,,,
769,177,8,,,,,,,,,,,,,686.0,,,,,,
770,177,8,,,,,,,,,,,,,687.0,,,,,,
771,177,8,,,,,,,,,,,,,687.0,,,,,,
772,178,8,,,,,,,,,,,,,687.0,,,,,,
773,178,8,,,,,,,,,,,,,686.0,,,,,,
774,178,8,,,,,,,,,,,,,686.0,,,,,,
775,179,8,,,,,,,,,,,,,686.0,,,,,,
776,180,8,,,,,,,,,,,,,690.0,,,,,,
777,180,8,,,,,,,,,,,,,691.0,,,,,,
778,180,8,,,,,,,,,,,,,691.0,,,,,,
779,180,8,,,,,,,,,,,,,691.0,,,,,,
780,183,8,,,,,,,,,,,,,692.0,,,,,,
781,183,8,,,,,,,,,,,,,692.0,,,,,,
782,183,8,,,,,,,,,,,,,692.0,,,,,,
783,183,8,,,,,,,,,,,,,692.0,,,,,,
784,184,8,,,,,,,,,,,,,692.0,,,,,,
785,184,8,,,,,,,,,,,,,692.0,,,,,,
786,184,8,,,,,,,,,,,,,692.0,,,,,,
787,184,8,,,,,,,,,,,,,692.0,,,,,,
788,184,8,,,,,,,,,,,,,693.0,,,,,,
789,185,8,,,,,,,,,,,,,691.0,,,,,,
790,185,8,,,,,,,,,,,,,691.0,,,,,,
791,185,8,,,,,,,,,,,,,691.0,,,,,,
792,187,8,,,,,,,,,,,,,691.0,,,,,,
793,187,8,,,,,,,,,,,,,691.0,,,,,,
794,187,8,,,,,,,,,,,,,691.0,,,,,,
795,187,8,,,,,,,,,,,,,692.0,,,,,,
796,187,8,,,,,,,,,,,,,692.0,,,,,,
797,187,8,,,,,,,,,,,,,692.0,,,,,,
798,191,11,,,,,,,,,,,,,685.0,,,,,,
799,191,11,,,,,,,,,,,,,685.0,,,,,,
800,190,11,,,,,,,,,,,,,685.0,,,,,,
801,191,11,,,,,,,,,,,,,685.0,,,,,,
802,191,11,,,,,,,,,,,,,685.0,,,,,,
803,191,11,,,,,,,,,,,,,685.0,,,,,,
804,191,11,,,,,,,,,,,,,686.0,,,,,,
805,191,11,,,,,,,,,,,,,686.0,,,,,,
806,191,11,,,,,,,,,,,,,686.0,,,,,,
807,191,11,,,,,,,,,,,,,686.0,,,,,,
808,191,11,,,,,,,,,,,,,686.0,,,,,,
809,191,11,,,,,,,,,,,,,686.0,,,,,,
810,188,11,,,,,,,,,,,,,694.0,,,,,,
811,188,11,,,,,,,,,,,,,694.0,,,,,,
812,188,11,,,,,,,,,,,,,696.0,,,,,,
813,189,11,,,,,,,,,,,,,696.0,,,,,,
814,189,11,,,,,,,,,,,,,696.0,,,,,,
815,189,11,,,,,,,,,,,,,697.0,,,,,,
816,187,11,,,,,,,,,,,,,702.0,,,,,,
817,187,11,,,,,,,,,,,,,702.0,,,,,,
818,187,11,,,,,,,,,,,,,702.0,,,,,,
819,187,11,,,,,,,,,,,,,702.0,,,,,,
820,190,11,,,,,,,,,,,,,702.0,,,,,,
821,190,11,,,,,,,,,,,,,702.0,,,,,,
822,193,11,,,,,,,,,,,,,698.0,,,,,,
823,193,11,,,,,,,,,,,,,698.0,,,,,,
824,193,11,,,,,,,,,,,,,700.0,,,,,,
825,193,11,,,,,,,,,,,,,699.0,,,,,,
826,193,11,,,,,,,,,,,,,700.0,,,,,,
827,193,11,,,,,,,,,,,,,699.0,,,,,,
828,192,11,,,,,,,,,,,,,705.0,,,,,,
829,192,11,,,,,,,,,,,,,705.0,,,,,,
830,192,11,,,,,,,,,,,,,705.0,,,,,,
831,192,11,,,,,,,,,,,,,705.0,,,,,,
832,192,11,,,,,,,,,,,,,705.0,,,,,,
833,192,11,,,,,,,,,,,,,703.0,,,,,,
834,192,11,,,,,,,,,,,,,703.0,,,,,,
835,192,11,,,,,,,,,,,,,703.0,,,,,,
836,192,11,,,,,,,,,,,,,703.0,,,,,,
837,195,11,,,,,,,,,,,,,704.0,,,,,,
838,195,11,,,,,,,,,,,,,704.0,,,,,,
839,195,11,,,,,,,,,,,,,704.0,,,,,,
840,195,11,,,,,,,,,,,,,707.0,,,,,,
841,195,11,,,,,,,,,,,,,707.0,,,,,,
842,195,11,,,,,,,,,,,,,707.0,,,,,,
843,196,11,,,,,,,,,,,,,705.0,,,,,,
844,196,11,,,,,,,,,,,,,705.0,,,,,,
845,196,11,,,,,,,,,,,,,705.0,,,,,,
846,197,11,,,,,,,,,,,,,706.0,,,,,,
847,197,11,,,,,,,,,,,,,706.0,,,,,,
848,198,11,,,,,,,,,,,,,705.0,,,,,,
849,198,11,,,,,,,,,,,,,705.0,,,,,,
850,197,11,,,,,,,,,,,,,707.0,,,,,,
851,197,11,,,,,,,,,,,,,707.0,,,,,,
852,195,11,,,,,,,,,,,,,714.0,,,,,,
853,195,11,,,,,,,,,,,,,714.0,,,,,,
854,196,11,,,,,,,,,,,,,714.0,,,,,,
855,196,11,,,,,,,,,,,,,715.0,,,,,,
856,199,8,,,,,,,,,,,,,717.0,,,,,,
857,199,8,,,,,,,,,,,,,717.0,,,,,,
858,198,8,,,,,,,,,,,,,717.0,,,,,,
859,198,8,,,,,,,,,,,,,717.0,,,,,,
860,197,8,,,,,,,,,,,,,717.0,,,,,,
861,197,8,,,,,,,,,,,,,717.0,,,,,,
862,197,8,,,,,,,,,,,,,717.0,,,,,,
863,197,8,,,,,,,,,,,,,717.0,,,,,,
864,196,8,,,,,,,,,,,,,720.0,,,,,,
865,196,8,,,,,,,,,,,,,720.0,,,,,,
866,196,8,,,,,,,,,,,,,720.0,,,,,,
867,197,8,,,,,,,,,,,,,720.0,,,,,,
868,191,10,,,,,,,,,,,,,730.0,,,,,,
869,191,10,,,,,,,,,,,,,729.0,,,,,,
870,192,10,,,,,,,,,,,,,729.0,,,,,,
871,192,10,,,,,,,,,,,,,729.0,,,,,,
872,190,10,,,,,,,,,,,,,733.0,,,,,,
873,190,10,,,,,,,,,,,,,735.0,,,,,,
874,190,10,,,,,,,,,,,,,735.0,,,,,,
875,189,10,,,,,,,,,,,,,738.0,,,,,,
876,188,10,,,,,,,,,,,,,746.0,,,,,,
877,188,12,,,,,,,,,,,,,743.0,,,,,,
878,188,12,,,,,,,,,,,,,743.0,,,,,,
879,188,12,,,,,,,,,,,,,745.0,,,,,,
880,190,12,,,,,,,,,,,,,747.0,,,,,,
881,191,12,,,,,,,,,,,,,745.0,,,,,,
882,191,12,,,,,,,,,,,,,745.0,,,,,,
883,191,12,,,,,,,,,,,,,745.0,,,,,,
884,192,12,,,,,,,,,,,,,747.0,,,,,,
885,193,12,,,,,,,,,,,,,747.0,,,,,,
886,193,12,,,,,,,,,,,,,747.0,,,,,,
887,193,12,,,,,,,,,,,,,746.0,,,,,,
888,194,12,,,,,,,,,,,,,746.0,,,,,,
889,194,12,,,,,,,,,,,,,746.0,,,,,,
890,195,12,,,,,,,,,,,,,746.0,,,,,,
891,195,12,,,,,,,,,,,,,746.0,,,,,,
892,195,12,,,,,,,,,,,,,,747.0,,,,,
893,195,12,,,,,,,,,,,,,,747.0,,,,,
894,194,12,,,,,,,,,,,,,,751.0,,,,,
895,194,12,,,,,,,,,,,,,,751.0,,,,,
896,196,12,,,,,,,,,,,,,,752.0,,,,,
897,196,12,,,,,,,,,,,,,,752.0,,,,,
898,196,12,,,,,,,,,,,,,,751.0,,,,,
899,196,12,,,,,,,,,,,,,,751.0,,,,,
900,198,12,,,,,,,,,,,,,,751.0,,,,,
901,198,12,,,,,,,,,,,,,,751.0,,,,,
902,198,12,,,,,,,,,,,,,,751.0,,,,,
903,198,12,,,,,,,,,,,,,,751.0,,,,,
904,199,12,,,,,,,,,,,,,,752.0,,,,,
905,199,12,,,,,,,,,,,,,,752.0,,,,,
906,200,12,,,,,,,,,,,,,,752.0,,,,,
907,200,12,,,,,,,,,,,,,,752.0,,,,,
908,200,12,,,,,,,,,,,,,,752.0,,,,,
909,200,12,,,,,,,,,,,,,,751.0,,,,,
910,200,12,,,,,,,,,,,,,,753.0,,,,,
911,200,12,,,,,,,,,,,,,,753.0,,,,,
912,201,8,,,,,,,,,,,,,,761.0,,,,,
913,201,8,,,,,,,,,,,,,760.0,,,,,,
914,201,8,,,,,,,,,,,,,760.0,,,,,,
915,201,8,,,,,,,,,,,,,760.0,,,,,,
916,201,8,,,,,,,,,,,,,761.0,,,,,,
917,199,8,,,,,,,,,,,,,764.0,,,,,,
918,199,8,,,,,,,,,,,,,765.0,,,,,,
919,199,8,,,,,,,,,,,,,765.0,,,,,,
920,199,8,,,,,,,,,,,,,768.0,,,,,,
921,200,8,,,,,,,,,,,,,767.0,,,,,,
922,200,8,,,,,,,,,,,,,767.0,,,,,,
923,200,8,,,,,,,,,,,,,767.0,,,,,,
924,200,8,,,,,,,,,,,,,770.0,,,,,,
925,200,8,,,,,,,,,,,,,771.0,,,,,,
926,200,8,,,,,,,,,,,,,771.0,,,,,,
927,200,8,,,,,,,,,,,,,771.0,,,,,,
928,200,8,,,,,,,,,,,,,771.0,,,,,,
929,200,8,,,,,,,,,,,,,771.0,,,,,,
930,200,8,,,,,,,,,,,,,772.0,,,,,,
931,197,6,,,,,,,,,,,,,778.0,,,,,,
932,198,6,,,,,,,,,,,,,779.0,,,,,,
933,198,6,,,,,,,,,,,,,779.0,,,,,,
934,198,6,,,,,,,,,,,,,779.0,,,,,,
935,198,6,,,,,,,,,,,,,779.0,,,,,,
936,201,6,,,,,,,,,,,,,783.0,,,,,,
937,201,6,,,,,,,,,,,,,783.0,,,,,,
938,201,6,,,,,,,,,,,,,783.0,,,,,,
939,201,6,,,,,,,,,,,,,786.0,,,,,,
940,198,6,,,,,,,,,,,,,789.0,,,,,,
941,198,6,,,,,,,,,,,,,789.0,,,,,,
942,198,6,,,,,,,,,,,,,789.0,,,,,,
943,198,6,,,,,,,,,,,,,789.0,,,,,,
944,199,6,,,,,,,,,,,,,788.0,,,,,,
945,201,6,,,,,,,,,,,,,788.0,,,,,,
946,201,6,,,,,,,,,,,,,788.0,,,,,,
947,201,6,,,,,,,,,,,,,788.0,,,,,,
948,201,6,,,,,,,,,,,,,789.0,,,,,,
949,201,6,,,,,,,,,,,,,789.0,,,,,,
950,201,6,,,,,,,,,,,,,790.0,,,,,,
951,201,6,,,,,,,,,,,,,790.0,,,,,,
952,198,6,,,,,,,,,,,,,795.0,,,,,,
953,198,6,,,,,,,,,,,,,794.0,,,,,,
954,194,6,,,,,,,,,,,,,,801.0,,,,,
955,194,6,,,,,,,,,,,,,,802.0,,,,,
956,195,6,,,,,,,,,,,,,,802.0,,,,,
957,195,6,,,,,,,,,,,,,,802.0,,,,,
958,196,8,,,,,,,,,,,,,,798.0,,,,,
959,196,8,,,,,,,,,,,,,,798.0,,,,,
960,198,8,,,,,,,,,,,,,,800.0,,,,,
961,198,8,,,,,,,,,,,,,,800.0,,,,,
962,197,8,,,,,,,,,,,,,,800.0,,,,,
963,197,8,,,,,,,,,,,,,,800.0,,,,,
964,197,8,,,,,,,,,,,,,,800.0,,,,,
965,197,8,,,,,,,,,,,,,,800.0,,,,,
966,195,8,,,,,,,,,,,,,,805.0,,,,,
967,195,8,,,,,,,,,,,,,,805.0,,,,,
968,196,8,,,,,,,,,,,,,,806.0,,,,,
969,196,8,,,,,,,,,,,,,,806.0,,,,,
970,196,8,,,,,,,,,,,,,,806.0,,,,,
971,196,8,,,,,,,,,,,,,,806.0,,,,,
972,197,8,,,,,,,,,,,,,,806.0,,,,,
973,198,8,,,,,,,,,,,,,,805.0,,,,,
974,198,8,,,,,,,,,,,,,,805.0,,,,,
975,198,8,,,,,,,,,,,,,,805.0,,,,,
976,198,8,,,,,,,,,,,,,,806.0,,,,,
977,198,8,,,,,,,,,,,,,,806.0,,,,,
978,198,8,,,,,,,,,,,,,,808.0,,,,,
979,198,8,,,,,,,,,,,,,,808.0,,,,,
980,199,10,,,,,,,,,,,,,,805.0,,,,,
981,199,10,,,,,,,,,,,,,,805.0,,,,,
982,199,10,,,,,,,,,,,,,,805.0,,,,,
983,199,10,,,,,,,,,,,,,,805.0,,,,,
984,197,10,,,,,,,,,,,,,,809.0,,,,,
985,197,10,,,,,,,,,,,,,,809.0,,,,,
986,197,10,,,,,,,,,,,,,,809.0,,,,,
987,196,10,,,,,,,,,,,,,,812.0,,,,,
988,196,10,,,,,,,,,,,,,,812.0,,,,,
989,196,10,,,,,,,,,,,,,,812.0,,,,,
990,198,10,,,,,,,,,,,,,,811.0,,,,,
991,198,10,,,,,,,,,,,,,,811.0,,,,,
992,197,10,,,,,,,,,,,,,,814.0,,,,,
993,195,10,,,,,,,,,,,,,,819.0,,,,,
994,195,10,,,,,,,,,,,,,,819.0,,,,,
995,195,10,,,,,,,,,,,,,,819.0,,,,,
996,195,10,,,,,,,,,,,,,,820.0,,,,,
997,195,10,,,,,,,,,,,,,,820.0,,,,,
998,195,10,,,,,,,,,,,,,,820.0,,,,,
999,195,10,,,,,,,,,,,,,,821.0,,,,,
